排名,中文域名,Punycode,字数,词频,词性,英文释义,类别,综合推荐分,年费USD,注册周期年,购买验证链接,验证时间UTC,词典来源
43,良心.com,xn--15ts58e.com,2,728,a,conscience,品质价值,98.6,11.25,1,https://vercel.com/domains/search?q=xn--15ts58e.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
44,品德.com,xn--jvry8w.com,2,2399,n,moral character,品质价值,98.6,11.25,1,https://vercel.com/domains/search?q=xn--jvry8w.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
45,人品.com,xn--gmqu0m.com,2,442,n,character; moral strength; integrity; (coll.) looks; appearance; bearing,品质价值,98.6,11.25,1,https://vercel.com/domains/search?q=xn--gmqu0m.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
46,原则.com,xn--3brx0b.com,2,9541,n,principle; doctrine; CL:個|个[ge4],品质价值,98.6,11.25,1,https://vercel.com/domains/search?q=xn--3brx0b.com,2026-07-23T18:17:37.656Z,Jieba + CC-CEDICT
47,秩序.com,xn--8wtt22d.com,2,2935,n,"order; orderliness (in society, in the classroom, on the roads etc)",通用品牌,98.5,11.25,1,https://vercel.com/domains/search?q=xn--8wtt22d.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
48,观念.com,xn--h7t834g.com,2,4115,n,notion; thought; concept; sense; views; ideology; general impressions,通用品牌,98.5,11.25,1,https://vercel.com/domains/search?q=xn--h7t834g.com,2026-07-23T18:21:29.173Z,Jieba + CC-CEDICT
49,思路.com,xn--m8tx33h.com,2,1627,n,line of thought; way of thinking,通用品牌,98.5,11.25,1,https://vercel.com/domains/search?q=xn--m8tx33h.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
50,边界.com,xn--koyr77c.com,2,1815,n,boundary; border,通用品牌,98.4,11.25,1,https://vercel.com/domains/search?q=xn--koyr77c.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
51,轨道.com,xn--j43a2r.com,2,2410,n,track (for trains etc); orbit (of a satellite); (fig.) a person's established path in life; desired trajectory (of a business or other endeavor); (audio engineering) track; (quantum mechanics) orbital,通用品牌,98.4,11.25,1,https://vercel.com/domains/search?q=xn--j43a2r.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
52,阶梯.com,xn--b1v348g.com,2,699,n,flight of steps; (fig.) stepping stone; way to reach the goal of,通用品牌,98.4,11.25,1,https://vercel.com/domains/search?q=xn--b1v348g.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
53,路径.com,xn--83t364h.com,2,486,n,path; route; method; ways and means,科技产品,98.3,11.25,1,https://vercel.com/domains/search?q=xn--83t364h.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
54,水准.com,xn--q8q275d.com,2,571,n,level (of achievement etc); standard; level (surveying),商业价值,98.3,11.25,1,https://vercel.com/domains/search?q=xn--q8q275d.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
55,均衡.com,xn--zesq65i.com,2,781,a,equal; balanced; harmony; equilibrium,通用品牌,98.3,11.25,1,https://vercel.com/domains/search?q=xn--zesq65i.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
56,结构.com,xn--rsvt23c.com,2,14200,n,"structure; composition; makeup; architecture; CL:座[zuo4],個|个[ge4]",科技产品,98.3,11.25,1,https://vercel.com/domains/search?q=xn--rsvt23c.com,2026-07-23T18:17:37.656Z,Jieba + CC-CEDICT
57,水平.com,xn--gwt091a.com,2,13880,n,"horizontal; level; a standard; a level (of ability, development etc)",通用品牌,98.2,11.25,1,https://vercel.com/domains/search?q=xn--gwt091a.com,2026-07-23T18:17:37.656Z,Jieba + CC-CEDICT
58,效果.com,xn--fcvt5c.com,2,4924,n,result; effect; efficacy; (theater) sound or visual effects,商业价值,98.2,11.25,1,https://vercel.com/domains/search?q=xn--fcvt5c.com,2026-07-23T18:17:37.656Z,Jieba + CC-CEDICT
59,效益.com,xn--fcvr30b.com,2,2186,n,benefit; effectiveness; efficiency,商业价值,98.2,11.25,1,https://vercel.com/domains/search?q=xn--fcvr30b.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
60,有效.com,xn--fcvx2b.com,2,7151,a,effective; in effect; valid,商业价值,98.1,11.25,1,https://vercel.com/domains/search?q=xn--fcvx2b.com,2026-07-23T18:17:37.656Z,Jieba + CC-CEDICT
61,完善.com,xn--30r33l.com,2,8085,v,"(of systems, facilities etc) comprehensive; well-developed; excellent; to refine; to improve",品质价值,98.1,11.25,1,https://vercel.com/domains/search?q=xn--30r33l.com,2026-07-23T18:17:37.656Z,Jieba + CC-CEDICT
62,持续.com,xn--ruun53d.com,2,4676,vd,to continue; to persist; to last; sustainable; preservation,通用品牌,98.1,11.25,1,https://vercel.com/domains/search?q=xn--ruun53d.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
63,上线.com,xn--fhq600j.com,2,657,n,"to go online; to put sth online; to reach a specific standard; to put into production; handler (person who oversees and directs the activities of another person in a gang, spy ring etc)",科技产品,98.0,11.25,1,https://vercel.com/domains/search?q=xn--fhq600j.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
64,运行.com,xn--jn2aw7m.com,2,3393,v,(of celestial bodies etc) to move along one's course; (fig.) to function; to be in operation; (of a train service etc) to operate; to run; (of a computer) to run,科技产品,98.0,11.25,1,https://vercel.com/domains/search?q=xn--jn2aw7m.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
65,先行.com,xn--44q245k.com,2,1132,n,to start off before the others; to precede; to proceed in advance,通用品牌,98.0,11.25,1,https://vercel.com/domains/search?q=xn--44q245k.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
66,开拓.com,xn--h0t08f.com,2,1194,v,to break new ground (for agriculture); to open up (a new seam); to develop (border regions); fig. to open up (new horizons),商业价值,98.0,11.25,1,https://vercel.com/domains/search?q=xn--h0t08f.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
67,发掘.com,xn--oor008a.com,2,1579,v,to excavate; to explore; (fig.) to unearth; to tap into,商业价值,97.9,11.25,1,https://vercel.com/domains/search?q=xn--oor008a.com,2026-07-23T18:28:33.160Z,Jieba + CC-CEDICT
68,营造.com,xn--5r1a88v.com,2,1379,vn,to build (housing); to construct; to make,商业价值,97.9,11.25,1,https://vercel.com/domains/search?q=xn--5r1a88v.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
69,绘制.com,xn--xcry10i.com,2,523,n,"to draw; to draft (a map, blueprint, diagram, illustration etc)",通用品牌,97.9,11.25,1,https://vercel.com/domains/search?q=xn--xcry10i.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
70,健全.com,xn--nyq9x.com,2,1765,a,robust; sound,通用品牌,97.8,11.25,1,https://vercel.com/domains/search?q=xn--nyq9x.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
71,生动.com,xn--6frx51f.com,2,1266,vn,"(of descriptions, writing etc) vivid; lively",通用品牌,97.8,11.25,1,https://vercel.com/domains/search?q=xn--6frx51f.com,2026-07-23T18:24:48.084Z,Jieba + CC-CEDICT
72,活泼.com,xn--rxw3e.com,2,740,a,lively; vivacious; brisk; active; (chemistry) reactive,通用品牌,97.8,11.25,1,https://vercel.com/domains/search?q=xn--rxw3e.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
73,亮相.com,xn--3lq159g.com,2,656,n,"to strike a pose (Chinese opera); (fig.) to make a public appearance; to come out in public (revealing one's true personality, opinions etc); (of a product) to appear on the market or at a trade show etc",通用品牌,97.7,11.25,1,https://vercel.com/domains/search?q=xn--3lq159g.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
74,强势.com,xn--ugr530a.com,2,735,n,strong; powerful; (linguistics) emphatic; intensive,通用品牌,97.7,11.25,1,https://vercel.com/domains/search?q=xn--ugr530a.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
75,优异.com,xn--4oqv10b.com,2,533,a,exceptional; outstandingly good,通用品牌,97.7,11.25,1,https://vercel.com/domains/search?q=xn--4oqv10b.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
76,独具.com,xn--h6q982f.com,2,657,n,"to have unique (talent, insight etc)",通用品牌,97.7,11.25,1,https://vercel.com/domains/search?q=xn--h6q982f.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
77,专心.com,xn--ohq044b.com,2,436,n,to focus one's attention; to concentrate on (doing sth),品质价值,97.6,11.25,1,https://vercel.com/domains/search?q=xn--ohq044b.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
78,认真.com,xn--w1yr15b.com,2,4703,ad,conscientious; earnest; serious; to take seriously; to take to heart,品质价值,97.6,11.25,1,https://vercel.com/domains/search?q=xn--w1yr15b.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
79,愉快.com,xn--66tty.com,2,1193,a,cheerful; happy; pleasant; delighted,通用品牌,97.6,11.25,1,https://vercel.com/domains/search?q=xn--66tty.com,2026-07-23T18:24:48.084Z,Jieba + CC-CEDICT
80,欣赏.com,xn--8jwy24e.com,2,1827,v,to appreciate; to enjoy; to admire,通用品牌,97.5,11.25,1,https://vercel.com/domains/search?q=xn--8jwy24e.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
81,巧妙.com,xn--yvsz3h.com,2,932,a,ingenious; clever; ingenuity; artifice,通用品牌,97.5,11.25,1,https://vercel.com/domains/search?q=xn--yvsz3h.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
82,讲究.com,xn--crzx66a.com,2,1572,vn,to pay particular attention to; carefully selected for quality; tastefully chosen,通用品牌,97.5,11.25,1,https://vercel.com/domains/search?q=xn--crzx66a.com,2026-07-23T18:24:48.084Z,Jieba + CC-CEDICT
83,气息.com,xn--ybu12x.com,2,1376,n,breath; smell; odor; flavor,生活审美,97.4,11.25,1,https://vercel.com/domains/search?q=xn--ybu12x.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
84,氛围.com,xn--mcs150c.com,2,689,n,ambience; atmosphere,生活审美,97.4,11.25,1,https://vercel.com/domains/search?q=xn--mcs150c.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
85,天色.com,xn--rsss47g.com,2,998,n,"color of the sky; time of day, as indicated by the color of the sky; weather",生活审美,97.4,11.25,1,https://vercel.com/domains/search?q=xn--rsss47g.com,2026-07-23T18:28:33.158Z,Jieba + CC-CEDICT
86,树林.com,xn--btvnk.com,2,669,n,"Shulin city in New Taipei City 新北市[Xin1 bei3 shi4], Taiwan",生活审美,97.4,11.25,1,https://vercel.com/domains/search?q=xn--btvnk.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
87,光线.com,xn--54q312i.com,2,802,n,"light ray; CL:條|条[tiao2],道[dao4]; light; illumination; lighting (for a photograph)",生活审美,97.3,11.25,1,https://vercel.com/domains/search?q=xn--54q312i.com,2026-07-23T18:28:33.158Z,Jieba + CC-CEDICT
88,光亮.com,xn--3lq56d.com,2,509,a,bright,生活审美,97.3,11.25,1,https://vercel.com/domains/search?q=xn--3lq56d.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
89,生息.com,xn--ybu837b.com,2,500,n,to inhabit; to live (in a habitat),通用品牌,97.3,11.25,1,https://vercel.com/domains/search?q=xn--ybu837b.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
90,物产.com,xn--wlqq58f.com,2,481,n,products; produce; natural resources,通用品牌,97.2,11.25,1,https://vercel.com/domains/search?q=xn--wlqq58f.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
91,意味.com,xn--btr560a.com,2,566,n,meaning; implication; flavor; overtone; to mean; to imply; (Tw) to get a sense of,通用品牌,97.2,11.25,1,https://vercel.com/domains/search?q=xn--btr560a.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
92,功劳.com,xn--xfrsb.com,2,705,n,contribution; meritorious service; credit,通用品牌,97.2,11.25,1,https://vercel.com/domains/search?q=xn--xfrsb.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
93,资深.com,xn--r4w318d.com,2,560,n,senior; highly experienced; veteran,商业价值,97.1,11.25,1,https://vercel.com/domains/search?q=xn--r4w318d.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
94,慎重.com,xn--ciun39h.com,2,600,a,cautious; careful; prudent,品质价值,97.1,11.25,1,https://vercel.com/domains/search?q=xn--ciun39h.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
95,恭敬.com,xn--wbu24i.com,2,600,a,deferential; respectful,品质价值,97.1,11.25,1,https://vercel.com/domains/search?q=xn--wbu24i.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
96,平稳.com,xn--gwtr13d.com,2,839,a,smooth; steady,通用品牌,97.1,11.25,1,https://vercel.com/domains/search?q=xn--gwtr13d.com,2026-07-23T18:28:33.160Z,Jieba + CC-CEDICT
97,自豪.com,xn--ub1a08s.com,2,521,n,proud (of one's achievements etc),品质价值,97.0,11.25,1,https://vercel.com/domains/search?q=xn--ub1a08s.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
98,花样.com,xn--vxv520d.com,2,520,n,pattern; way of doing sth; trick; ruse; fancy-style (as in 花樣滑冰|花样滑冰[hua1 yang4 hua2 bing1] figure skating),生活审美,97.0,11.25,1,https://vercel.com/domains/search?q=xn--vxv520d.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
99,朴实.com,xn--qbt92y.com,2,534,a,plain; simple; guileless; down-to-earth; sincere and honest,通用品牌,97.0,11.25,1,https://vercel.com/domains/search?q=xn--qbt92y.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
100,洞察力.com,xn--tfr98sooo.com,3,67,n,insight,通用品牌,96.9,11.25,1,https://vercel.com/domains/search?q=xn--tfr98sooo.com,2026-07-23T18:42:16.249Z,Jieba + CC-CEDICT
101,词条.com,xn--rrvr42f.com,2,10441,n,entry (in a dictionary),内容文化,96.9,11.25,1,https://vercel.com/domains/search?q=xn--rrvr42f.com,2026-07-23T18:17:37.656Z,Jieba + CC-CEDICT
102,特征.com,xn--53t253b.com,2,5767,n,characteristic; diagnostic property; distinctive feature; trait,通用品牌,96.9,11.25,1,https://vercel.com/domains/search?q=xn--53t253b.com,2026-07-23T18:17:37.656Z,Jieba + CC-CEDICT
103,推出.com,xn--79qv44b.com,2,4028,v,to push out; to release; to launch; to publish; to recommend,通用品牌,96.8,11.25,1,https://vercel.com/domains/search?q=xn--79qv44b.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
104,效应.com,xn--ext12m.com,2,2116,n,effect (scientific phenomenon),商业价值,96.8,11.25,1,https://vercel.com/domains/search?q=xn--ext12m.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
105,本质.com,xn--8pvn95f.com,2,2064,n,essence; nature; innate character; intrinsic quality,通用品牌,96.8,11.25,1,https://vercel.com/domains/search?q=xn--8pvn95f.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
106,业绩.com,xn--vhqv30j.com,2,1992,n,"achievement; accomplishment; (in more recent usage) performance (of a business, employee etc); results",商业价值,96.8,11.25,1,https://vercel.com/domains/search?q=xn--vhqv30j.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
107,配套.com,xn--2ts351k.com,2,1939,a,to form a complete set; compatible; matching; complementary,通用品牌,96.7,11.25,1,https://vercel.com/domains/search?q=xn--2ts351k.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
108,权益.com,xn--wqvp95a.com,2,1751,n,rights; interests; rights and benefits,商业价值,96.7,11.25,1,https://vercel.com/domains/search?q=xn--wqvp95a.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
109,坚定.com,xn--jfsu2h.com,2,1241,a,firm; steady; staunch; resolute,通用品牌,96.7,11.25,1,https://vercel.com/domains/search?q=xn--jfsu2h.com,2026-07-23T18:24:48.084Z,Jieba + CC-CEDICT
110,选项.com,xn--483a49n.com,2,631,n,option; alternative; choice; to choose a project,科技产品,96.6,11.25,1,https://vercel.com/domains/search?q=xn--483a49n.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
111,数值.com,xn--hxqt03c.com,2,594,n,numerical value,科技产品,96.6,11.25,1,https://vercel.com/domains/search?q=xn--hxqt03c.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
112,股本.com,xn--8pvp08c.com,2,559,n,capital stock; investment,商业价值,96.6,11.25,1,https://vercel.com/domains/search?q=xn--8pvp08c.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
113,余额.com,xn--zqq199o.com,2,540,n,"balance (of an account, bill etc); surplus; remainder",通用品牌,96.5,11.25,1,https://vercel.com/domains/search?q=xn--zqq199o.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
114,有序.com,xn--8wtp2q.com,2,523,n,regular; orderly; successive; in order,通用品牌,96.5,11.25,1,https://vercel.com/domains/search?q=xn--8wtp2q.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
115,进展.com,xn--ygtx21j.com,2,2022,vn,to make headway; to make progress,通用品牌,96.5,11.25,1,https://vercel.com/domains/search?q=xn--ygtx21j.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
116,明显.com,xn--2hv1d.com,2,9296,a,clear; distinct; obvious,通用品牌,96.5,11.25,1,https://vercel.com/domains/search?q=xn--2hv1d.com,2026-07-23T18:17:37.656Z,Jieba + CC-CEDICT
117,流传.com,xn--dpq674e.com,2,1650,vn,to spread; to circulate; to hand down,通用品牌,96.4,11.25,1,https://vercel.com/domains/search?q=xn--dpq674e.com,2026-07-23T18:24:48.084Z,Jieba + CC-CEDICT
118,对应.com,xn--ceto4d.com,2,1087,vn,to correspond (to); to be equivalent to; to be a counterpart to,通用品牌,96.4,11.25,1,https://vercel.com/domains/search?q=xn--ceto4d.com,2026-07-23T18:28:33.160Z,Jieba + CC-CEDICT
